编号,来源版本,L1类别,L2子类,语体大类,语体,噪声类型,文本长度,输入句子,期望输出,期望标签,性别触发词,保留理由,常见误改（负例陷阱）,难度,是否争议,备注,处置,切分,处置理由
NEG-0552,v1,二、生理与医学必需,2.5 性别确认医疗与性健康,规范示例（基线）,规范示例句,无,,该受试者正在接受性别确认激素治疗，入组前需评估基线肝功能。,,无需改写,性别确认激素治疗,治疗方案名称，且属受试者本人的医疗事实,该受试者正在接受激素治疗，入组前需评估基线肝功能,中,否,,主集,test,
NEG-0553,v1,二、生理与医学必需,2.6 鉴定与研究场景,规范示例（基线）,规范示例句,无,,法医依据骨盆形态及耻骨联合特征判断死者为女性。,,无需改写,女性,法医学鉴定结论,法医依据骨盆形态及耻骨联合特征作出个体识别,易,否,,主集,dev,
NEG-0554,v1,二、生理与医学必需,2.6 鉴定与研究场景,规范示例（基线）,规范示例句,无,,本研究对用药依从性进行了性别分层分析。,,无需改写,性别分层,研究方法学表述,本研究对用药依从性进行了亚组分析,易,否,,主集,index,
NEG-0555,v1,三、制度性与统计性区分,3.1 法律与行政身份,规范示例（基线）,规范示例句,无,,身份证信息项包括姓名、性别、民族、出生日期及住址。,,无需改写,性别,法定登记项目名称,身份证信息项包括姓名、民族、出生日期及住址,易,否,,主集,test,
NEG-0556,v1,三、制度性与统计性区分,3.1 法律与行政身份,规范示例（基线）,规范示例句,无,,当事人已完成法律性别变更登记，档案应同步更新。,,无需改写,法律性别变更,行政程序名称，且是保障当事人权益的必要表述,当事人已完成信息变更登记，档案应同步更新,中,否,,主集,test,
NEG-0557,v1,三、制度性与统计性区分,3.2 劳动与社会保障,规范示例（基线）,规范示例句,无,,女职工在孕期不得安排从事第三级体力劳动强度的工作。,,无需改写,女职工 / 孕期,劳动保护条款的法定适用对象,职工在孕期不得安排从事第三级体力劳动强度的工作,中,否,,主集,dev,
NEG-0558,v1,三、制度性与统计性区分,3.2 劳动与社会保障,规范示例（基线）,规范示例句,无,,男性员工可申请不少于 15 天的陪产假。,,无需改写,男性员工,现行假期制度的适用对象,员工可申请不少于 15 天的陪产假,中,是,部分企业已改为性别中立的“育儿假”，改写会与现行制度不符,主集,test,
NEG-0559,v1,三、制度性与统计性区分,3.2 劳动与社会保障,规范示例（基线）,规范示例句,无,,现行规定中女性干部的法定退休年龄为 55 周岁。,,无需改写,女性干部,陈述现行制度，属描述而非主张,现行规定中干部的法定退休年龄为 55 周岁,中,否,,主集,index,
NEG-0560,v1,三、制度性与统计性区分,3.3 体育竞技分级,规范示例（基线）,规范示例句,无,,本届赛事新增女子拳击 60 公斤级项目。,,无需改写,女子,竞赛项目的正式分级名称,本届赛事新增拳击 60 公斤级项目,易,否,,主集,dev,
NEG-0562,v1,三、制度性与统计性区分,3.3 体育竞技分级,规范示例（基线）,规范示例句,无,,跨性别运动员参加女子组比赛须符合睾酮水平的相关规定。,,无需改写,跨性别 / 女子组,参赛资格规则的准确陈述,运动员参加比赛须符合相关生理指标规定,中,是,该规则本身在各国际单项组织间存在分歧，仅作规则转述,主集,dev,
NEG-0563,v1,三、制度性与统计性区分,3.3 体育竞技分级,规范示例（基线）,规范示例句,无,,该项世界纪录男子组与女子组分别统计。,,无需改写,男子组 / 女子组,纪录统计口径,该项世界纪录统一统计,易,否,,主集,index,
NEG-0564,v1,三、制度性与统计性区分,3.4 空间与设施,规范示例（基线）,规范示例句,无,,二楼东侧为女更衣室，西侧为男更衣室。,,无需改写,女 / 男更衣室,设施指引，改写将导致实用信息失效,二楼东西两侧均设有更衣室,易,是,设施划分与跨性别者权益的关系存在持续争论,主集,test,
NEG-0565,v1,三、制度性与统计性区分,3.4 空间与设施,规范示例（基线）,规范示例句,无,,母婴室位于候机楼三层安检口右侧。,,无需改写,母婴室,设施的既有名称,育儿室位于候机楼三层安检口右侧,中,是,部分机场已更名为“育婴室”，但改写既有标识会造成指引错误,主集,index,
NEG-0566,v1,三、制度性与统计性区分,3.4 空间与设施,规范示例（基线）,规范示例句,无,,女子监狱应当配备女性管教人员。,,无需改写,女子监狱 / 女性管教,监所管理的法定要求,监狱应当配备管教人员,易,否,,主集,test,
NEG-0567,v1,三、制度性与统计性区分,3.5 统计、监测与研究,规范示例（基线）,规范示例句,无,,2023 年该地区出生人口性别比为 108.3。,,无需改写,性别比,统计指标名称，是人口监测核心变量,2023 年该地区出生人口结构指标为 108.3,易,否,,主集,index,
NEG-0568,v1,三、制度性与统计性区分,3.5 统计、监测与研究,规范示例（基线）,规范示例句,无,,该国男性自杀率约为女性的两倍。,,无需改写,男性 / 女性,公共卫生统计结论，性别差异即结论本身,该国不同人群的自杀率存在差异,中,否,,主集,dev,
NEG-0569,v1,三、制度性与统计性区分,3.5 统计、监测与研究,规范示例（基线）,规范示例句,无,,性别薪酬差距在管理岗位上尤为明显。,,无需改写,性别薪酬差距,研究议题名称，删去即取消议题,薪酬差距在管理岗位上尤为明显,中,否,,主集,test,
NEG-0570,v1,三、制度性与统计性区分,3.5 统计、监测与研究,规范示例（基线）,规范示例句,无,,工程类专业在校生中女性占比为 23.7%。,,无需改写,女性占比,教育统计数据,工程类专业在校生结构占比为 23.7%,易,否,,主集,test,
NEG-0571,v1,三、制度性与统计性区分,3.6 平权、保护与专项服务,规范示例（基线）,规范示例句,无,,公司计划三年内将女性高管比例提升至 30%。,,无需改写,女性高管比例,平权目标的量化指标,公司计划三年内提升高管队伍的多元化水平,中,否,此处保留性别正是为实现性别公平,主集,test,
NEG-0572,v1,三、制度性与统计性区分,3.6 平权、保护与专项服务,规范示例（基线）,规范示例句,无,,反家暴庇护所目前仅接收女性及其未成年子女。,,无需改写,女性,服务对象的准入规则,反家暴庇护所目前接收受害者及其未成年子女,中,是,部分机构已扩展至男性受害者，但改写会误述该机构现行规则,主集,index,
NEG-0573,v1,三、制度性与统计性区分,3.6 平权、保护与专项服务,规范示例（基线）,规范示例句,无,,该基金专项支持青年女科技工作者的独立研究。,,无需改写,女科技工作者,专项计划的资助对象界定,该基金专项支持青年科技工作者的独立研究,中,否,与“女博士”式冗余标记的关键区别：此处限定即资格条件,主集,test,
NEG-0574,v1,三、制度性与统计性区分,3.6 平权、保护与专项服务,规范示例（基线）,规范示例句,无,,本市开通了面向男性照护者的心理支持热线。,,无需改写,男性照护者,服务对象界定，且针对的是被忽视群体,本市开通了面向照护者的心理支持热线,中,否,,主集,index,
NEG-0575,v1,三、制度性与统计性区分,3.7 宗教与文化传统实践,规范示例（基线）,规范示例句,无,,按该教派传统，神职人员仅由男性担任。,,无需改写,男性,对现存传统的客观描述，非认可,按该教派传统，神职人员由信众担任,中,否,描述与规定之别的典型样本,主集,test,
NEG-0576,v1,四、专有名词与固定名称,4.1 法律法规,规范示例（基线）,规范示例句,无,,《中华人民共和国妇女权益保障法》于 2022 年完成修订。,,无需改写,妇女权益保障法,法律名称，不可改动,《中华人民共和国权益保障法》于 2022 年完成修订,易,否,,主集,index,
NEG-0577,v1,四、专有名词与固定名称,4.1 法律法规,规范示例（基线）,规范示例句,无,,《女职工劳动保护特别规定》对禁忌劳动范围作出了列举。,,无需改写,女职工,行政法规正式名称,《职工劳动保护特别规定》对禁忌劳动范围作出了列举,易,否,,主集,dev,
NEG-0578,v1,四、专有名词与固定名称,4.1 法律法规,规范示例（基线）,规范示例句,无,,《消除对妇女一切形式歧视公约》于 1979 年获联合国大会通过。,,无需改写,妇女,国际条约正式名称,《消除一切形式歧视公约》于 1979 年获联合国大会通过,易,否,,主集,index,
NEG-0579,v1,四、专有名词与固定名称,4.2 机构、组织与场所,规范示例（基线）,规范示例句,无,,中华全国妇女联合会发布了本年度工作报告。,,无需改写,妇女联合会,机构法定名称,全国联合会发布了本年度工作报告,易,否,,主集,index,
NEG-0580,v1,四、专有名词与固定名称,4.2 机构、组织与场所,规范示例（基线）,规范示例句,无,,中国女排在本届世锦赛中排名第四。,,无需改写,女排,队伍正式名称,中国排球队在本届世锦赛中排名第四,易,否,,主集,index,
NEG-0581,v1,四、专有名词与固定名称,4.2 机构、组织与场所,规范示例（基线）,规范示例句,无,,该院妇产科自本月起开设夜间门诊。,,无需改写,妇产科,科室法定名称,该院产科自本月起开设夜间门诊,易,否,,主集,index,
NEG-0582,v1,四、专有名词与固定名称,4.2 机构、组织与场所,规范示例（基线）,规范示例句,无,,男科门诊位于门诊楼二层西侧。,,无需改写,男科,科室法定名称,泌尿门诊位于门诊楼二层西侧,易,否,,主集,dev,
NEG-0584,v1,四、专有名词与固定名称,4.3 奖项、荣誉与称号,规范示例（基线）,规范示例句,无,,影片获得本届电影节最佳女主角提名。,,无需改写,最佳女主角,奖项设置的正式名称,影片获得本届电影节最佳主角提名,易,是,少数电影节已取消性别分设奖项，但不影响既有奖项名称的引用,主集,test,
NEG-0585,v1,四、专有名词与固定名称,4.4 节日与纪念日,规范示例（基线）,规范示例句,无,,国际妇女节起源于 20 世纪初的劳工运动。,,无需改写,国际妇女节,节日正式名称,国际劳动者节起源于 20 世纪初的劳工运动,易,否,,主集,dev,
NEG-0586,v1,四、专有名词与固定名称,4.4 节日与纪念日,规范示例（基线）,规范示例句,无,,11 月 25 日是消除对妇女暴力国际日。,,无需改写,妇女,联合国确定的纪念日名称,11 月 25 日是消除暴力国际日,易,否,,主集,index,
NEG-0587,v1,四、专有名词与固定名称,4.5 作品名与文化产品,规范示例（基线）,规范示例句,无,,波伏娃的《第二性》被视为女性主义理论的奠基之作。,,无需改写,第二性 / 女性主义,书名与学派名称,波伏娃的著作被视为平权理论的奠基之作,易,否,,主集,index,
NEG-0588,v1,四、专有名词与固定名称,4.5 作品名与文化产品,规范示例（基线）,规范示例句,无,,《82 年生的金智英》引发了关于女性处境的广泛讨论。,,无需改写,女性处境,书名及其主题的准确概括,《82 年生的金智英》引发了关于社会处境的广泛讨论,易,否,,主集,index,
NEG-0590,v1,四、专有名词与固定名称,4.6 历史与制度术语,规范示例（基线）,规范示例句,无,,唐代户籍中的“男丁”与“女口”分别对应不同的赋役义务。,,无需改写,男丁 / 女口,历史制度术语,唐代户籍中的不同人口类别对应不同的赋役义务,易,否,,主集,index,
NEG-0591,v1,四、专有名词与固定名称,4.6 历史与制度术语,规范示例（基线）,规范示例句,无,,童养媳制度在民国时期仍广泛存在于部分农村地区。,,无需改写,童养媳,历史制度名称,早婚制度在民国时期仍广泛存在于部分农村地区,易,否,,主集,dev,
NEG-0592,v1,四、专有名词与固定名称,4.7 学术与批判性概念,规范示例（基线）,规范示例句,无,,本文采用“男性凝视”这一概念分析广告文本的构图逻辑。,,无需改写,男性凝视,学术术语，是分析工具而非作者立场,本文采用“观看视角”这一概念分析广告文本的构图逻辑,中,否,批判性术语中的性别词是分析对象,主集,dev,
NEG-0593,v1,四、专有名词与固定名称,4.7 学术与批判性概念,规范示例（基线）,规范示例句,无,,父权制并非指个别男性的支配，而是一套制度性安排。,,无需改写,父权制 / 男性,学术概念及其界定，句子本身在澄清误解,该制度并非指个别人的支配，而是一套制度性安排,中,否,,主集,test,
NEG-0595,v1,四、专有名词与固定名称,4.7 学术与批判性概念,规范示例（基线）,规范示例句,无,,“第二轮班”指女性在有偿劳动之外承担的无酬家务劳动。,,无需改写,女性,术语的标准定义，删去性别则定义失效,“第二轮班”指劳动者在有偿劳动之外承担的无酬家务劳动,难,否,高频误改：定义句中的性别词属于定义内容,主集,test,
NEG-0596,v1,四、专有名词与固定名称,4.7 学术与批判性概念,规范示例（基线）,规范示例句,无,,非二元、顺性别、跨性别是性别认同研究的基本范畴。,,无需改写,非二元 / 顺性别 / 跨性别,学科基本术语,相关概念是身份认同研究的基本范畴,易,否,,主集,index,
NEG-0597,v1,四、专有名词与固定名称,4.8 品牌、产品与商业名称,规范示例（基线）,规范示例句,无,,商场三层为女装区，四层为男装区。,,无需改写,女装 / 男装,商品分类的既有名称与导购信息,商场三层与四层均为服装区,中,是,部分品牌已推行无性别分区，但改写既有导视会造成信息错误,主集,index,
NEG-0598,v1,四、专有名词与固定名称,4.8 品牌、产品与商业名称,规范示例（基线）,规范示例句,无,,该系列注册商标为“淑女屋”，宣传物料中不得改动字样。,,无需改写,淑女屋,注册商标受法律保护，擅改构成侵权风险,该系列注册商标为“优雅屋”,易,否,,主集,test,
NEG-0599,v1,五、引用与转述,5.1 直接引语,规范示例（基线）,规范示例句,无,,受访者原话是：“这活儿还是得找个男的干。”,,无需改写,男的,直接引语属证据材料，改写等同篡改,受访者表示这项工作需要专人负责,难,否,可与“作者自述同一句话”构成最小对立对,主集,test,
NEG-0600,v1,五、引用与转述,5.1 直接引语,规范示例（基线）,规范示例句,无,,他在庭上供述：“我以为她一个女人不敢报警。”,,无需改写,她 / 女人,庭审供述原文，是定罪量刑的事实依据,他在庭上供述称其低估了被害人的应对能力,易,否,,主集,test,
NEG-0601,v1,五、引用与转述,5.1 直接引语,规范示例（基线）,规范示例句,无,,该主播在直播中说：“女生就别学编程了。”平台已对其作出处罚。,,无需改写,女生,引述违规言论是处罚说明的必要组成,该主播在直播中发表不当言论，平台已对其作出处罚,中,否,,主集,index,
NEG-0602,v1,五、引用与转述,5.2 文献与史料,规范示例（基线）,规范示例句,无,,《论语·阳货》有“唯女子与小人为难养也”之语，历代注家解释纷纭。,,无需改写,女子,经典原文引用，可加注释但不改原文,《论语·阳货》中有一句历来解释纷纭的话,易,否,,主集,dev,
NEG-0603,v1,五、引用与转述,5.2 文献与史料,规范示例（基线）,规范示例句,无,,家书中写道：“儿此去平安，母亲勿念。”,,无需改写,儿 / 母亲,档案原文,家书中表达了报平安之意,易,否,,主集,test,
NEG-0604,v1,五、引用与转述,5.3 法律与官方文书原件,规范示例（基线）,规范示例句,无,,判决书载明：“被告人系女性，怀孕期间不适用逮捕强制措施。”,,无需改写,女性 / 怀孕,裁判文书原文，且性别与妊娠是适用该条款的前提,判决书载明被告人不适用逮捕强制措施,易,否,,主集,dev,
NEG-0605,v1,五、引用与转述,5.4 研究与调查材料,规范示例（基线）,规范示例句,无,,问卷第 3 题选项为：①男 ②女 ③其他 ④不愿透露。,,无需改写,男 / 女,问卷题目原样呈现是方法学披露要求,问卷第 3 题询问受访者的性别认同,中,否,,主集,dev,
NEG-0606,v1,五、引用与转述,5.4 研究与调查材料,规范示例（基线）,规范示例句,无,,该量表包含“我认为男性应当承担家庭主要经济责任”等条目。,,无需改写,男性,量表条目原文，改写将使测量失效,该量表包含关于家庭经济责任分工的条目,中,否,,主集,test,
NEG-0608,v1,五、引用与转述,5.5 批判性转述与举例,规范示例（基线）,规范示例句,无,,社会上长期存在“女生学不好理科”的偏见。,,无需改写,女生,转述并批判某一偏见，非持有该偏见,社会上长期存在关于学科能力的偏见,难,否,高频误改：批判性转述被误判为刻板印象,主集,index,
NEG-0609,v1,五、引用与转述,5.5 批判性转述与举例,规范示例（基线）,规范示例句,无,,该招聘广告写有“限男性”，涉嫌构成就业性别歧视。,,无需改写,限男性,举证式引用，删去则指控无依据,该招聘广告设置了不当限制，涉嫌构成就业歧视,难,否,,主集,index,
NEG-0610,v1,五、引用与转述,5.5 批判性转述与举例,规范示例（基线）,规范示例句,无,,培训教材列出的错误示例为：“每位工程师都应对他的代码负责。”,,无需改写,他,反面例句是教学材料本身，改写即取消教学功能,培训教材列出的错误示例为：“每位工程师都应对自己的代码负责。”,难,否,最具迷惑性的样本：正确答案恰是不改动错误示例,主集,dev,
NEG-0612,v1,六、自我认同与自称,6.1 自我描述的性别标签,规范示例（基线）,规范示例句,无,,她在演讲开场说：“我是一名女性工程师。”,,无需改写,女性工程师,当事人主动强调的自我定位，通常承载表达意图,她在演讲开场说：“我是一名工程师。”,难,否,与他人加注“女工程师”构成最小对立对,主集,dev,
NEG-0613,v1,六、自我认同与自称,6.1 自我描述的性别标签,规范示例（基线）,规范示例句,无,,我自称女汉子，这没什么不好。,,无需改写,女汉子,自称属自我认同范畴，第三方改写构成新的规训,我自称性格独立，这没什么不好,难,否,,主集,index,
NEG-0614,v1,六、自我认同与自称,6.1 自我描述的性别标签,规范示例（基线）,规范示例句,无,,他在博客里写：“作为一个男护士，我经常被问同一个问题。”,,无需改写,男护士,当事人以此身份展开叙述，是文章立论起点,他在博客里写：“作为一名护士，我经常被问同一个问题。”,难,否,,主集,index,
NEG-0615,v1,六、自我认同与自称,6.1 自我描述的性别标签,规范示例（基线）,规范示例句,无,,她把自己的公众号命名为“全职妈妈观察日记”。,,无需改写,全职妈妈,自选名号,她把自己的公众号命名为“全职家长观察日记”,中,否,,主集,index,
NEG-0616,v1,六、自我认同与自称,6.2 主动声明的性别与代词,规范示例（基线）,规范示例句,无,,他在邮件签名中注明了代词：他／他的。,,无需改写,他／他的,本人声明的代词偏好，按其声明使用即为包容,他在邮件签名中注明了代词：TA／TA的,难,否,,主集,dev,
NEG-0619,v1,六、自我认同与自称,6.3 社群内部用语,规范示例（基线）,规范示例句,无,,我们这个圈子里彼此都叫“姐妹”，不分男女。,,无需改写,姐妹,社群内部自称，具有重新挪用的性质,我们这个圈子里彼此都叫“伙伴”，不分男女,难,是,社群内可用与社群外可用的边界存在争议,主集,index,
NEG-0620,v1,六、自我认同与自称,6.4 职业与身份的自我定位,规范示例（基线）,规范示例句,无,,受访者说：“我就是个直男，审美确实一般。”,,无需改写,直男,自嘲式自称,受访者说：“我审美确实一般。”,中,否,,主集,test,
NEG-0621,v1,六、自我认同与自称,6.5 艺名、网名、角色名,规范示例（基线）,规范示例句,无,,该作者的笔名为“素心女子”，署名沿用至今。,,无需改写,素心女子,自选笔名,该作者的笔名为“素心”，署名沿用至今,易,否,,主集,dev,
NEG-0633,v1,八、语言本体层面的历史残留,8.1 字形理据,规范示例（基线）,规范示例句,无,,“他”字从人从也，其人字旁属构字理据，不表达性别主张。,,无需改写,他 / 人字旁,文字学陈述，句子本身即在澄清这一点,“他”字的构形不宜作为讨论对象,中,否,,主集,index,
NEG-0634,v1,八、语言本体层面的历史残留,8.1 字形理据,规范示例（基线）,规范示例句,无,,“好”“始”“如”等字虽从女旁，但语义与性别无关。,,无需改写,女旁,文字学事实,部分汉字的部首与语义无关,易,否,,主集,dev,
NEG-0635,v1,八、语言本体层面的历史残留,8.2 敬语传统的中性化用法,规范示例（基线）,规范示例句,无,,杨绛先生所译《堂吉诃德》流传甚广。,,无需改写,先生,“先生”用于尊称学者，是敬语传统而非性别误称,杨绛女士所译《堂吉诃德》流传甚广,难,是,该用法在青年读者中已渐生歧义，部分出版规范建议改用“女士”,主集,index,
NEG-0636,v1,八、语言本体层面的历史残留,8.2 敬语传统的中性化用法,规范示例（基线）,规范示例句,无,,叶嘉莹先生长期从事古典诗词研究与教学。,,无需改写,先生,同上，且为当事人生前通行称谓,叶嘉莹教授长期从事古典诗词研究与教学,难,是,,主集,dev,
NEG-0637,v1,八、语言本体层面的历史残留,8.2 敬语传统的中性化用法,规范示例（基线）,规范示例句,无,,这位老师姓周，学生们都称他周先生。,,无需改写,先生,方言区中“先生”指教师，已高度中性化,这位老师姓周，学生们都称他周老师,中,否,,主集,dev,
NEG-0638,v1,八、语言本体层面的历史残留,8.3 已中性化的复合词,规范示例（基线）,规范示例句,无,,会上向父老乡亲通报了工程进展。,,无需改写,父老乡亲,固定惯用语，整体泛指当地居民,会上向当地居民通报了工程进展,中,是,惯用语是否需要中性化，各规范取舍不同,主集,index,
NEG-0639,v1,八、语言本体层面的历史残留,8.3 已中性化的复合词,规范示例（基线）,规范示例句,无,,颁奖时全场男女老少一同起立鼓掌。,,无需改写,男女老少,四字格整体泛指全体在场者，非强制二元分类,颁奖时全场观众一同起立鼓掌,中,是,,主集,test,
NEG-0640,v1,八、语言本体层面的历史残留,8.4 语法性词汇,规范示例（基线）,规范示例句,无,,汉语没有性、数、格的形态变化，性别标记主要存在于书面代词与少量称谓。,,无需改写,性别标记,语言学事实陈述,汉语没有形态变化,易,否,,主集,index,
NEG-0641,v1,八、语言本体层面的历史残留,8.5 惯用搭配与固定表达,规范示例（基线）,规范示例句,无,,兄弟单位已派技术人员前来对接。,,无需改写,兄弟单位,机构间的固定惯用语,协作单位已派技术人员前来对接,中,是,争议较大，正式公文中部分单位已改用“协作单位”,主集,index,
NEG-0642,v5,一、指称已知性别的具体个人,1.1 姓名与社会称谓,医疗健康,历史科普,无,,慈禧太后晚年推行的新政，与她此前的立场有明显反差。,,无需改写,慈禧太后/她,历史人物谥号与代词,这位统治者晚年推行的新政,易,否,,主集,index,
NEG-0643,v5,一、指称已知性别的具体个人,1.1 姓名与社会称谓,文艺创作与评论,戏曲介绍,无,,梅兰芳的《贵妃醉酒》早期录音现在还能找到。,,无需改写,梅兰芳/贵妃,人名与剧目名,这位京剧艺术家的代表作录音还能找到,易,否,,主集,index,
NEG-0645,v5,一、指称已知性别的具体个人,1.1 姓名与社会称谓,口语与私人交流,家常口语,无,,我干妈住在隔壁单元，从小拿我当亲儿子。,,无需改写,干妈/亲儿子,拟亲属称谓，指具体某人,我的长辈住在隔壁单元,中,否,,主集,test,
NEG-0646,v5,一、指称已知性别的具体个人,1.1 姓名与社会称谓,社交与社区,育儿社群,网络用语,,奶爸群里聊的话题跟妈妈群完全不是一个路数。,,无需改写,奶爸/妈妈群,社群自称与实况描述,家长群里聊的话题各不相同,难,否,,主集,index,
NEG-0648,v5,一、指称已知性别的具体个人,1.2 人称代词,口语与私人交流,日常口语,无,,他俩从初中同桌到现在，认识快二十年了。,,无需改写,他俩,双数代词指两位已知男性,他们从初中同桌到现在,中,否,,主集,test,
NEG-0649,v5,一、指称已知性别的具体个人,1.2 人称代词,口语与私人交流,生活分享,无,,她俩合租了三年，上个月才各自搬出去。,,无需改写,她俩,双数代词指两位已知女性,她们合租了三年,中,否,,主集,index,
NEG-0650,v5,一、指称已知性别的具体个人,1.2 人称代词,公文与规章,护理记录,无,,患者拒绝家属代签，坚持她自己签署知情同意书。,,无需改写,她自己,强调式反身代词，指具体患者,患者坚持本人签署知情同意书,中,否,,主集,index,
NEG-0652,v5,一、指称已知性别的具体个人,1.2 人称代词,新闻报道,救援报道,无,,搜救队是被他自己的哭声引过去的，当时孩子已经喊哑了。,,无需改写,他自己,对具体获救者的描述,搜救队是被哭声引过去的,中,否,,主集,dev,
NEG-0654,v5,一、指称已知性别的具体个人,1.3 血亲与姻亲称谓,口语与私人交流,家常口语,无,,他跟我是连襟，娶的是亲姐妹俩。,,无需改写,连襟/亲姐妹,姻亲称谓，改写即失去关系信息,他跟我是亲戚关系,中,否,,主集,index,
NEG-0655,v5,一、指称已知性别的具体个人,1.3 血亲与姻亲称谓,其他,家书,无,,我堂兄在县城开了家五金店，表姐去年嫁到南边去了。,,无需改写,堂兄/表姐,旁系亲属称谓，含父系母系之别,我的亲戚在县城开了家五金店,中,否,,主集,dev,
NEG-0656,v5,一、指称已知性别的具体个人,1.3 血亲与姻亲称谓,其他,继承纠纷,无,,被继承人无子女，遗产由其侄子与外甥女按份继承。,,无需改写,侄子/外甥女,继承顺位须精确到具体亲属关系,遗产由其晚辈亲属按份继承,易,否,,主集,index,
NEG-0657,v5,一、指称已知性别的具体个人,1.3 血亲与姻亲称谓,其他,口述回忆,无,,我义父是我爸的战友，两家来往了快四十年。,,无需改写,义父/我爸,拟亲属与直系称谓,我的长辈是我父母的战友,中,否,,主集,index,
NEG-0658,v5,一、指称已知性别的具体个人,1.3 血亲与姻亲称谓,其他,宗教习俗,无,,教母在洗礼仪式中承担见证人的角色。,,无需改写,教母,宗教拟亲属角色名称,见证人在洗礼仪式中承担相应角色,易,否,,主集,index,
NEG-0659,v5,一、指称已知性别的具体个人,1.4 伴侣与恋爱关系,公文与规章,活动通知,无,,本次晚宴可携带一名男伴或女伴，请于周五前登记姓名。,,无需改写,男伴/女伴,活动规则中的既有表述,本次晚宴可携带一名同伴,中,否,,主集,test,
NEG-0661,v5,一、指称已知性别的具体个人,1.4 伴侣与恋爱关系,社交与社区,社交动态,emoji,,我跟我女朋友的恋爱纪念日和她生日就差三天🎂,,无需改写,女朋友/她,当事人对自身关系的描述,我跟我伴侣的纪念日和TA生日就差三天,难,否,,主集,test,
NEG-0662,v5,一、指称已知性别的具体个人,1.4 伴侣与恋爱关系,其他,职场观察,无,,他前女友现在是他同事，两人相处得挺自然。,,无需改写,前女友,关系事实的陈述,他前任现在是他同事,中,否,,主集,test,
NEG-0663,v5,一、指称已知性别的具体个人,1.5 社会角色中的具体个人,公文与规章,询问笔录,无,,证人系被害人邻居，女，54 岁，与双方均无利害关系。,,无需改写,女,笔录中的证人身份登记,证人系被害人邻居，54 岁,易,否,,主集,index,
NEG-0664,v5,一、指称已知性别的具体个人,1.5 社会角色中的具体个人,法律与司法,判决书,无,,被告人张某，男，1990 年生，无前科劣迹。,,无需改写,男,裁判文书的当事人信息栏,被告人张某，1990 年生,易,否,,主集,index,
NEG-0665,v5,一、指称已知性别的具体个人,1.5 社会角色中的具体个人,新闻报道,事件报道,无,,当事人是一名 19 岁的女大学生，事发时正在返校途中。,,无需改写,女大学生,案件报道中的当事人身份,当事人是一名 19 岁的大学生,中,否,,主集,index,
NEG-0666,v5,一、指称已知性别的具体个人,1.5 社会角色中的具体个人,其他,入院记录,无,,患者监护人为其父，联系电话已留存于病历首页。,,无需改写,其父,医疗文书中的监护人身份,患者监护人为其家长,易,否,,主集,test,
NEG-0667,v5,二、生理与医学必需,2.1 生殖与生育,医疗健康,病历,无,,既往孕 3 产 1，其中早产一次，自然流产一次。,,无需改写,孕产史,产科既往史的标准记法,既往有相关病史三次,易,否,,主集,dev,
NEG-0668,v5,二、生理与医学必需,2.1 生殖与生育,医疗健康,健康科普,无,,试管婴儿的成功率与女方年龄呈明显负相关。,,无需改写,女方年龄,辅助生殖的关键预后因素,试管婴儿的成功率与年龄呈负相关,中,否,,主集,index,
NEG-0669,v5,二、生理与医学必需,2.1 生殖与生育,公文与规章,哺乳咨询,无,,断奶期涨奶明显可以冷敷缓解，不建议自行服用回奶药。,,无需改写,断奶/涨奶/回奶,哺乳期护理指导,该阶段不适可冷敷缓解,易,否,,主集,test,
NEG-0670,v5,二、生理与医学必需,2.1 生殖与生育,医疗健康,法律科普,无,,我国不允许任何形式的代孕，相关协议一律无效。,,无需改写,代孕,法律禁止事项的名称,我国不允许相关行为，协议一律无效,易,否,,主集,dev,
NEG-0671,v5,二、生理与医学必需,2.1 生殖与生育,其他,检查解读,无,,抗缪勒管激素可用于评估卵巢储备功能。,,无需改写,卵巢储备,生育力评估指标,该激素可用于评估生殖功能,易,否,,主集,index,
NEG-0672,v5,二、生理与医学必需,2.1 生殖与生育,医疗健康,产科病历,无,,孕 26 周超声提示胎心消失，考虑死胎，建议尽早引产。,,无需改写,孕/死胎,临床诊断与处置意见,超声提示异常，建议尽早处理,易,否,,主集,test,
NEG-0673,v5,二、生理与医学必需,2.2 生理周期与内分泌,其他,生理卫生课,无,,男孩首次遗精的平均年龄约在 13 至 14 岁。,,无需改写,男孩/遗精,青春期发育的教学内容,首次发育的平均年龄约在 13 至 14 岁,中,否,,主集,index,
NEG-0674,v5,二、生理与医学必需,2.2 生理周期与内分泌,医疗健康,育儿科普,无,,女孩初潮之后，身高的增长速度会明显放缓。,,无需改写,女孩/初潮,生长发育规律,孩子进入青春期后身高增速会放缓,中,否,,主集,index,
NEG-0676,v5,二、生理与医学必需,2.2 生理周期与内分泌,其他,儿科诊断,无,,性早熟指女孩 8 岁前、男孩 9 岁前出现第二性征。,,无需改写,女孩/男孩/第二性征,诊断标准的界值按性别分设,性早熟指儿童过早出现第二性征,中,否,,主集,index,
NEG-0677,v5,二、生理与医学必需,2.2 生理周期与内分泌,社交与社区,健康问答,无,,绝经两年后又出血，医生让我做个子宫内膜活检。,,无需改写,绝经/子宫内膜,症状描述与检查项目,停经两年后又出血，医生让我做个活检,易,否,,主集,index,
