编号,来源版本,L1类别,L2子类,载体形式,指向性别,叠加类别,语体大类,语体,噪声类型,文本长度,输入句子,参考改写,期望标签,问题触发词,问题说明,可接受的其他改法,欠改陷阱（改了但没改到位）,过改陷阱（矫枉过正）,必须保留的信息,严重度,难度,是否争议,备注,处置,切分,处置理由
POS-0548,v6,三、属性绑定（陈述性：把特质归于性别）,3.7 婚恋与择偶偏好的性别化,常规句,指向男性,,社交与社区,婚恋话题贴,无,中,现在的行情就是男的要有房有车，彩礼本来就是男方的责任。,现在的行情里房、车、彩礼多由一方承担，这部分怎么分担值得两个人商量。,需改写,男的要有房有车／彩礼是男方的责任,把婚前财产投入单向归为男方义务。,“婚前投入如何分担，建议双方共同商定”,只删“本来就是”，责任的单向分派仍在,把彩礼与房车这一话题回避掉，丢失原帖主题,房、车、彩礼在婚配中被作为条件这一现象,应改,中,是,,主集,test,
POS-0549,v6,三、属性绑定（陈述性：把特质归于性别）,3.7 婚恋与择偶偏好的性别化,成语俗谚,双向,,口语与私人交流,长辈聊天,方言,中,老话说娶妻当娶贤，女怕嫁错郎，这两句到啥时候都不过时。,老话有各种讲法，关键还是两个人合不合得来，能不能好好过日子。,需改写,娶妻当娶贤／女怕嫁错郎,两句俗谚分别把德行要求压给女方、把人生风险压给女方，且被断为不过时。,“老话归老话，合不合适得两个人自己看”,只删“到啥时候都不过时”，两句俗谚仍作为主张原样保留,把长辈的口语劝导改成书面训诫，改变语体,长辈对婚配的看法、聊天的口语感,应改,中,是,俗谚引用与主张之间的界线有分歧,主集,test,
POS-0550,v6,四、规范说教（应然性：以性别提出要求）,4.1 应然句式,常规句,指向男性,,文艺创作与评论,家庭剧台词,无,中,别哭了，男人不能哭，你要坚强点。,先别急着憋回去，难受就说出来，我们一起想办法。,需改写,男人不能哭／要坚强,以性别下达情绪禁令，并叠加坚强这一应然要求。,“想哭就哭出来，哭完我们再说”,只删“男人不能哭”，保留“要坚强点”这一同源要求,把这段安慰情节删掉，破坏剧情,一方正在哭泣、另一方在劝慰这一情节,必改,易,否,,主集,index,
POS-0551,v6,四、规范说教（应然性：以性别提出要求）,4.1 应然句式,常规句,指向女性,,公文与规章,学生评语,无,中,该生活泼有余，女生要文静一点才好，望下学期注意言行。,该生课堂发言积极，但有时影响他人，望下学期注意场合。,需改写,女生要文静一点,以性别设定行为规范，把活泼判为需矫正的缺点。,“课堂参与积极，需注意不打断他人”,只删“女生”，保留“要文静一点”这一要求,把“望下学期注意”这一评语功能删掉,该生活泼、评语需给出改进方向,必改,中,否,,主集,index,
POS-0552,v6,四、规范说教（应然性：以性别提出要求）,4.1 应然句式,常规句,指向男性,,口语与私人交流,朋友劝解,网络用语,中,男人就得扛事，这点压力算啥，忍忍就过去了。,这段压力确实不小，别硬扛，有事跟我说。,需改写,男人就得扛事,以性别要求独自承受压力，并否定求助的正当性。,“压力大的时候找人说说，别一个人憋着”,只删“男人”，保留“忍忍就过去了”这一同源要求,把朋友劝解这一关系情境删掉，改变语体,对方正承受压力、朋友在回应这一情境、口语劝解,必改,中,否,,主集,dev,
POS-0553,v6,四、规范说教（应然性：以性别提出要求）,4.1 应然句式,常规句,指向女性,,社交与社区,育儿号文案,emoji,中,当妈的哪能不管孩子，再忙也要挤出时间陪伴🌱,孩子的陪伴需要家长共同安排，再忙也要挤出时间🌱,需改写,当妈的哪能不管孩子,以反问句式把育儿责任规定为母亲的天职。,“陪伴时间由父母共同规划”,改成“当爸妈的哪能不管孩子”，反问式的责任规定仍在,删掉 emoji 与文案调性，改变推文语体,陪伴孩子需要时间投入这一主张、emoji 与文案调性,必改,中,否,,主集,dev,
POS-0554,v6,四、规范说教（应然性：以性别提出要求）,4.1 应然句式,常规句,指向男性,,社交与社区,短视频弹幕,网络用语,中,男人不该化妆，油头粉面的看着别扭。,这个妆效有点重，看着不太习惯。,需改写,男人不该化妆,以性别禁止某类外貌实践，属应然式规训。,“妆感偏浓，我个人不太喜欢”,只删“男人不该”，仍以“油头粉面”这一贬抑词评价,把这条弹幕的评价立场整个抹掉，丢失内容,弹幕作者不喜欢该妆效这一态度、弹幕口语,必改,易,否,,主集,dev,
POS-0555,v6,四、规范说教（应然性：以性别提出要求）,4.2 资格与身份定义,常规句,指向男性,,文艺创作与评论,影视台词,无,中,把钱还上，敢作敢当，这才像个男人。,把钱还上，敢作敢当，这才是该有的样子。,需改写,这才像个男人,以担当界定男性身份资格，把品行绑成性别的证明。,“把账还清，这才对得起自己”,改成“这才像个爷们”，资格判定仍在,把还钱与担当这一情节主张删掉，破坏台词,要求对方还钱、敢作敢当这一情节主张,必改,中,是,若为角色塑造需要，则属负例,主集,test,
POS-0556,v6,四、规范说教（应然性：以性别提出要求）,4.2 资格与身份定义,常规句,指向女性,,社交与社区,情感博主口播,无,中,真正的女人会把自己收拾得体体面面，这是最基本的女人味。,把自己收拾得体面清爽，会让人一整天都有精神。,需改写,真正的女人会……／女人味,以外表打理界定“真正的女人”，并以“女人味”作为资格判据。,“愿意打理自己是一种生活态度”,只删“真正的”，仍以“女人味”作判据,删掉口播的建议内容，丢失文案功能,把自己收拾体面这一建议、口播的口语调性,必改,中,否,,主集,index,
POS-0557,v6,四、规范说教（应然性：以性别提出要求）,4.2 资格与身份定义,常规句,指向男性,,社交与社区,球场喊话,缺标点,短,是男人就上去拼一把别怂,上去拼一把别怂,需改写,是男人就……,以性别设定行动门槛，把退缩定义为身份不合格。,“豁出去拼一把”,改成“是爷们就上”，门槛仍在,补全标点并改成书面语，改变喊话体裁,催促上场拼抢、原文无标点的喊话体裁,必改,易,否,保留缺标点噪声,主集,dev,
POS-0558,v6,四、规范说教（应然性：以性别提出要求）,4.2 资格与身份定义,常规句,指向男性,,社交与社区,职场吐槽,网络用语,中,被领导说两句就蔫了，一点男子气概都没有。,被领导说两句就蔫了，抗压能力还得练。,需改写,一点男子气概都没有,以“男子气概”作为抗压能力的判据，把性别气质与职业素质挂钩。,“心态还不够稳，需要多练”,改成“不够爷们”，判据未变,把“被领导说两句就蔫了”这一具体情形删掉,被批评后状态低落这一观察、吐槽的口语感,必改,易,否,,主集,dev,
POS-0559,v6,四、规范说教（应然性：以性别提出要求）,4.2 资格与身份定义,成语俗谚,指向男性,,公文与规章,动员讲话,无,中,大丈夫能屈能伸，须眉当有担当，这次攻坚就看诸位了。,能屈能伸方能成事，诸位当有担当，这次攻坚就看大家了。,需改写,大丈夫／须眉,以“大丈夫”“须眉”把担当与韧性设为男性专属，同时排除在场其他人。,“成事要能屈能伸，也要肯担责”,只删“须眉”，保留“大丈夫”，资格框架仍在,把攻坚动员这一讲话目的删掉,本次攻坚任务、对在场者的动员、讲话体裁,必改,中,否,,主集,index,
POS-0560,v6,四、规范说教（应然性：以性别提出要求）,4.3 选择的性别化劝阻与限制,常规句,指向男性,,口语与私人交流,长辈教诲,方言,中,男的学护理没前途，将来抬不起头，趁早换个专业。,护理这条路要看你自己的兴趣和职业规划，现在换不换都来得及。,需改写,男的学护理没前途,以性别劝阻职业选择，并以社会评价加压。,“护理专业的发展路径可以先了解清楚”,只删“男的”，保留“没前途、抬不起头”的劝退结论,把专业选择这一话题删掉，丢失对话内容,对方正在读护理、是否换专业这一议题、长辈口语,必改,中,否,,主集,dev,
POS-0561,v6,四、规范说教（应然性：以性别提出要求）,4.3 选择的性别化劝阻与限制,常规句,指向女性,,口语与私人交流,家庭议论,无,中,女孩子别太拼，你一个女生要那么强干嘛，够用就行了。,别太拼，身体要紧，这个强度得悠着点。,需改写,女孩子别太拼／一个女生要那么强干嘛,以“为你好”的口吻劝阻上进，两处均以性别为条件。,“工作强度太大，注意别把自己累垮”,只删前半句，后半句的反问仍在,把关心健康这一意图删掉，改变家庭对话的语气,对方工作强度过大、家人在表达关心,必改,中,否,,主集,dev,
POS-0563,v6,四、规范说教（应然性：以性别提出要求）,4.4 年龄、婚育与人生进度捆绑,标题,指向女性,,新闻报道,民生新闻标题,无,中,大龄剩女相亲十次未果 专家支招该如何取舍,多次相亲未果 专家分析择偶取舍中的常见误区,需改写,大龄剩女,以贬抑标签指称未婚女性，并把年龄设为待解决的问题。,“相亲多次未成，专家谈择偶取舍”,改成“大龄单身女性”，年龄问题化的框架仍在,把“专家支招”这一报道结构删掉,多次相亲未成这一事实、专家给出建议这一内容,必改,中,否,,主集,index,
POS-0564,v6,四、规范说教（应然性：以性别提出要求）,4.4 年龄、婚育与人生进度捆绑,成语俗谚,双向,,社交与社区,相声段子,无,中,都说女人四十豆腐渣，男人四十一枝花，这话您琢磨琢磨。,都说人到四十各有各的难，这话您琢磨琢磨。,需改写,女人四十豆腐渣，男人四十一枝花,同一年龄对两性给出相反估值，是最典型的年龄双标俗谚。,“四十岁上下，各人有各人的坎”,只把顺序调换，估值的不对等仍在,把“您琢磨琢磨”这一相声抖包袱的语气删掉,对四十岁这一年龄的议论、相声的口语节奏,必改,中,是,若为讽刺该俗谚的段子，则属负例,主集,index,
POS-0565,v6,四、规范说教（应然性：以性别提出要求）,4.5 传统角色规训与伦理话语,成语俗谚,指向女性,,公文与规章,家风宣传栏,无,中,本村提倡女子无才便是德，出得厅堂入得厨房，方为持家之本。,本村提倡家庭成员共同持家，家务与教育责任由家人分担。,需改写,女子无才便是德／出得厅堂入得厨房,两句连用，先否定女性受教育的价值，再规定其应达成的家务标准。,“提倡家人共同承担家务与教养责任”,只删前半句，后半句的持家标准仍单向压在女性身上,把宣传栏的家风倡导功能删掉,本村在倡导某种家风、宣传栏体裁,必改,中,否,,主集,test,
POS-0568,v6,四、规范说教（应然性：以性别提出要求）,4.6 保护式区别对待（善意歧视）,常规句,双向,,工程与技术,车间班前会,方言,中,女同志别搬了，这批料重，重活男生来，你们去登记。,这批料重，两人一组搬运，其余人负责登记，按体力自行组队。,需改写,女同志别搬了／重活男生来,以照顾名义按性别分派体力活与文书活，双向都是区别对待。,“搬运两人一组，登记一人，自行认领”,只删“女同志别搬了”，重活仍指定男生,把搬运与登记这两项工作删掉，丢失班前会安排,存在搬料与登记两项工作、需要分派人手,应改,中,是,涉及实际体力与安全的边界，争议密度高,主集,test,
POS-0569,v6,四、规范说教（应然性：以性别提出要求）,4.6 保护式区别对待（善意歧视）,常规句,指向女性,,公文与规章,值班安排,无,中,照顾一下女同志，女的不用值夜班，夜班全部由男同事轮。,夜班按自愿申报与轮值表安排，有特殊情况可申请调换。,需改写,照顾一下女同志／女的不用值夜班,以照顾为名把夜班义务单向压给男同事，同时取消女同事的选择权。,“夜班实行自愿轮值，特殊情况可申请调整”,只删“照顾一下”，夜班分配仍按性别,把夜班这一排班事项删掉，丢失安排内容,存在夜班、需要一套轮值规则,应改,中,是,,主集,test,
POS-0570,v6,四、规范说教（应然性：以性别提出要求）,4.6 保护式区别对待（善意歧视）,常规句,双向,,商业与产品,年会游戏规则,emoji,中,抢凳子环节女士优先，女生先入场，男生让一轮🎪,抢凳子环节按抽签顺序入场，每轮淘汰一人🎪,需改写,女士优先／男生让一轮,以礼遇形式改变竞赛规则，预设了参与者的能力差异。,“按抽签顺序入场，规则对所有人一致”,只删“女士优先”，让一轮的规则仍在,删掉 emoji 与游戏环节，丢失年会安排,抢凳子这一游戏环节、需要一套入场规则、emoji,应改,中,是,礼节性表述与规则改变的界线有分歧,主集,test,
POS-0571,v6,五、关系性不对等（需比较两个对象方成立）,5.1 称谓与头衔层级不对等,常规句,双向,,文艺创作与评论,颁奖典礼主持词,无,中,下面有请评委会主席周正明先生，以及我们美丽的评委林女士。,下面有请评委会主席周正明，以及评委林清。,需改写,主席先生／美丽的评委林女士,一方称职务，另一方称性别称谓并附外貌修饰，双重不对等。,统一以职务加姓名介绍两位评委,只删“美丽的”，仍以“林女士”与“主席”并列,编造第二位评委的职务信息,两位嘉宾登台、其中一位为评委会主席、主持词体裁,应改,中,否,,主集,dev,
POS-0581,v6,五、关系性不对等（需比较两个对象方成立）,5.5 从夫称谓与旧式谦称,常规句,指向女性,,文艺创作与评论,回忆散文,无,中,他常说，这些年多亏了糟糠之妻在背后撑着。,他常说，这些年多亏了妻子在背后撑着。,需改写,糟糠之妻,“糟糠”以贫贱时的粗劣饮食代指妻子，含贬抑与恩赐意味。,“多亏了他妻子这些年的支持”,改成“结发妻子”，旧式定位仍在,把“在背后撑着”这一叙述删掉，丢失散文内容,他对妻子多年支持的感念、散文的叙述语体,应改,中,是,旧词在文学语境中的沿用尺度有分歧,主集,dev,
POS-0583,v6,五、关系性不对等（需比较两个对象方成立）,5.5 从夫称谓与旧式谦称,常规句,指向女性,,社交与社区,旧式请柬,繁体,中,恭請周經理攜夫人蒞臨小兒周歲之喜。,恭請周經理與伴侶蒞臨小兒周歲之喜。,需改写,攜夫人,“携夫人”把受邀者的配偶设为被携带者，无独立受邀身份。,“恭請周經理伉儷蒞臨”,改成“攜太太”，结构未变,把繁体改成简体，修正了原文的字形噪声,邀请周经理及其配偶、小儿周岁这一事由、繁体字形,应改,难,是,请柬套语的沿用程度有分歧；保留繁体噪声,主集,index,
POS-0585,v6,五、关系性不对等（需比较两个对象方成立）,5.6 施受与主被动结构不对等,常规句,双向,,新闻报道,家庭报道,无,中,三年前他迎娶了邻村的姑娘，如今她已为他生下一子。,三年前两人结婚，如今有了一个孩子。,需改写,迎娶／为他生下,男方为施事、女方为受事与服务者，同一事件两侧结构不对等。,“两人三年前结婚，去年有了孩子”,只把“为他生下一子”改成“生下一子”，前半句的迎娶结构仍在,编造结婚与生育的具体时间,两人三年前结婚、现已有一个孩子,应改,中,是,,主集,dev,
POS-0586,v6,五、关系性不对等（需比较两个对象方成立）,5.6 施受与主被动结构不对等,常规句,双向,,口语与私人交流,家庭讨论,方言,中,房子写谁名？她是嫁过来的，还是写我们家孩子名下稳妥。,房子写谁名？两个人商量着来，写谁的名都要说清楚。,需改写,她是嫁过来的,以“嫁过来”界定归属方向，并据此排除其财产权。,“产权登记双方商定，别用谁进谁家来定”,只删“嫁过来的”，仍单方面决定写谁名下,把房产登记这一议题删掉，丢失讨论内容,家庭正在讨论房产登记在谁名下,应改,中,否,,主集,test,
POS-0592,v6,五、关系性不对等（需比较两个对象方成立）,5.8 成就与失败的归因不对等,常规句,双向,,新闻报道,行业访谈,无,中,问及成功之道，他谈的是二十年的技术积累，而她则被问到家庭是否支持。,问及成功之道，两位受访者分别谈了各自的技术积累与团队建设。,需改写,他被问技术积累／她被问家庭支持,提问维度按性别分派，把女性的成就隐含地归因于家庭许可。,对两位受访者提出同类问题,只删“是否支持”，提问的维度差仍在,编造第二位受访者的回答内容,两位受访者、访谈在讨论成功之道,建议改,难,否,少写型不对等（提问维度的不对等）,主集,index,
POS-0593,v6,六、以性别设限与划界,6.1 二元穷举式称呼与并称,常规句,双向,,公文与规章,校园通知,无,中,请全体男生女生于周三下午三点到操场集合。,请全体同学于周三下午三点到操场集合。,需改写,男生女生,以二元穷举统称全体学生，“同学”本已中性。,“请各班同学于周三下午三点集合”,改成“男同学女同学”，穷举结构未变,改动集合时间或地点，破坏通知内容,周三下午三点、操场集合,应改,易,否,,主集,dev,
POS-0594,v6,六、以性别设限与划界,6.1 二元穷举式称呼与并称,常规句,双向,,法律与司法,调解协议模板,无,中,男女双方须到场签署，男女双方各执一份。,双方当事人须到场签署，各执一份。,需改写,男女双方（两处）,协议模板以性别指称当事人，而协议关系并不依赖性别。,“协议双方须到场签署”,只改前一处，后一处“男女双方”未动,把“各执一份”这一条款要素删掉,双方须到场签署、各执一份,应改,中,否,多触发点样本,主集,test,
POS-0595,v6,六、以性别设限与划界,6.1 二元穷举式称呼与并称,结构化文本,双向,,商业与产品,下拉选项配置,结构化文本,中,称谓下拉：先生 / 小姐（默认值：先生）,称谓下拉：先生 / 女士 / 不便告知（默认值：不便告知）,需改写,先生／小姐二选一且默认先生,选项二元穷举，且默认值把未选择者一律归为男性。,取消称谓字段，直接使用用户填写的姓名,只把“小姐”改成“女士”，默认值与二元结构未动,删掉整个称谓字段，若下游文案依赖会报错,称谓这一字段、下拉控件、存在默认值这一配置,应改,中,是,,主集,index,
POS-0596,v6,六、以性别设限与划界,6.1 二元穷举式称呼与并称,常规句,双向,,社交与社区,社区活动通知,方言,中,咱们院里老少爷们儿、男男女女都来啊，晚上七点放电影。,咱们院里的街坊都来啊，晚上七点放电影。,需改写,老少爷们儿／男男女女,先以男性词统称，再以二元穷举补全，两层都排他。,“院里的邻居都来，晚上七点放电影”,只删“老少爷们儿”，二元穷举仍在,把方言口语改成书面通知，改变语体,晚上七点、院里放电影、方言口语的招呼,应改,中,否,,主集,index,
POS-0597,v6,六、以性别设限与划界,6.1 二元穷举式称呼与并称,代码与字段,双向,,工程与技术,文案模板,结构化文本,中,"greeting = ""尊敬的{name}他/她，您的申请已受理""","greeting = ""尊敬的{name}，您的申请已受理""",需改写,他/她（并列写法）,模板中以“他/她”并列，既是二元穷举，在此处还语法冗余。,"改为 ""{name}，您的申请已受理""",改成“他/她/TA”，仍是列举式方案,改动变量名 {name} 或键名 greeting，破坏模板渲染,greeting 键名、{name} 变量、申请已受理这一文案内容,应改,中,否,「他/她」在本集判为欠改，不作为合格解,主集,test,
POS-0598,v6,六、以性别设限与划界,6.2 家庭结构的窄化预设,常规句,双向,,公文与规章,家长会通知,无,中,本周五家长会，请爸爸妈妈填写反馈表并按时到场。,本周五家长会，请监护人填写反馈表并按时到场。,需改写,请爸爸妈妈填写,以父母二人穷举全部监护人，单亲、祖辈抚养等情形被排除。,“请家长填写反馈表”,改成“请爸爸或妈妈填写”，仍限定为父母二元,改动家长会时间，破坏通知内容,本周五家长会、填写反馈表、按时到场,应改,易,否,,主集,dev,
POS-0600,v6,六、以性别设限与划界,6.2 家庭结构的窄化预设,结构化文本,双向,,公文与规章,学籍档案表,结构化文本,中,监护信息：孩子的父亲____ 孩子的母亲____（两栏均为必填）,监护信息：监护人一（关系____ 姓名____）监护人二（关系____ 姓名____，非必填）,需改写,父亲栏／母亲栏且均必填,字段以异性双亲为唯一结构，且必填约束使其他情形无法录入。,改为“共同生活的监护人”，留出关系与姓名两列,只把栏目名改成“家长一、家长二”，必填约束未放开,删掉第二栏，导致双监护人信息无处录入,两个监护人填写位、监护信息这一字段组、表格体裁,应改,中,否,,主集,index,
POS-0601,v6,六、以性别设限与划界,6.3 表单、字段与选项的强制二元,结构化文本,双向,,学术与调研,问卷人口学题,结构化文本,中,Q1 您的性别：○男 ○女（必答，不可跳过）,Q1 您的性别：○男 ○女 ○其他 ○不便告知（必答，可选“不便告知”）,需改写,仅男女两项且不可跳过,问卷人口学变量强制二元且不可跳过，会迫使部分受访者填入不实信息。,增设“其他（请注明）”开放项，并允许跳过,只放开跳过，选项仍是二元,删掉性别题，若研究设计确需该变量会影响分析,Q1 题号、性别这一人口学变量、单选控件、问卷格式,应改,中,是,受统计口径约束，是否可放开取决于研究设计,主集,index,
POS-0604,v6,六、以性别设限与划界,6.4 依推定的性别称谓指派,常规句,双向,,商业与产品,餐厅接待,网络用语,中,两位这边坐，先生您点单还是小姐点？,两位这边坐，请问由哪位点单？,需改写,默认叫先生／小姐,依外表推定并指派称谓，同时把点单权按推定的性别分派。,“请问哪位来点单”,改成“先生/女士”，仍是依推定二选一,把点单这一服务流程删掉，丢失接待内容,引导入座、询问由谁点单这一流程、接待口语,应改,易,否,,主集,dev,
POS-0606,v6,六、以性别设限与划界,6.5 准入与资格的性别限制,常规句,指向男性,,公文与规章,招聘启事,无,中,储备干部三名，该岗位只招男性，需适应长期出差。,储备干部三名，需适应长期出差，欢迎符合条件者投递。,需改写,只招男性,以性别设定准入门槛，属实质层排他，含合规风险。,“岗位含长期出差要求，任职资格见附件”,改成“男性优先”，仍以性别设门槛,把“长期出差”这一岗位事实删掉，丢失关键信息,储备干部三名、需适应长期出差、招聘启事体裁,必改,易,否,含合规风险,主集,test,
POS-0607,v6,六、以性别设限与划界,6.5 准入与资格的性别限制,常规句,指向女性,,商业与产品,门店招工,缺标点,短,招收银员两名女性优先包吃住,招收银员两名包吃住熟悉收银系统者优先,需改写,女性优先,岗位无实质性别需求时的“女性优先”同样构成准入倾斜。,“熟悉收银操作者优先”,改成“限女性”，排他性更强,补全标点并改成规范书面语，改变招工告示体裁,招收银员两名、包吃住、原文无标点的告示体裁,必改,中,否,保留缺标点噪声,主集,test,
POS-0608,v6,六、以性别设限与划界,6.6 空间、设施与分组的非必要划分,常规句,双向,,商业与产品,商场导视,无,中,地下二层设女性车厢直达电梯与粉色停车位，男士请走东侧通道。,地下二层设直达电梯与近电梯停车位，各出入口通行不限。,需改写,女性车厢／粉色停车位／男士走东侧,以性别切分停车与通行路径，安全考量未说明时属非必要划分。,“近电梯车位供有需要的车主使用，需在闸口登记”,只删“男士请走东侧”，前面的性别化设施仍在,把停车位与电梯这一设施信息删掉，丢失导视功能,地下二层有直达电梯与特定停车位、通行路径这一导视信息,应改,中,是,安全类设施的必要性判断有分歧,主集,index,
POS-0609,v6,六、以性别设限与划界,6.6 空间、设施与分组的非必要划分,常规句,双向,,公文与规章,运动会编排,无,中,趣味项目按男队女队分组，各队人数不限。,趣味项目按班级分组，各队人数不限。,需改写,按男队女队分组,趣味项目无体能对抗必要，按性别分队属非必要划分。,“按报名先后随机分队”,只把“男队女队”改成“甲队乙队”，分组依据未说明,改动人数规则，破坏赛事编排,趣味项目需要分组、各队人数不限这一规则,应改,易,否,,主集,dev,
POS-0610,v6,六、以性别设限与划界,6.6 空间、设施与分组的非必要划分,结构化文本,双向,,工程与技术,场馆设施说明,结构化文本,中,卫生间：男（3F 东）、女（3F 西）；更衣室：男、女各一间。,卫生间：男（3F 东）、女（3F 西）、无障碍及全性别单间（3F 中）；更衣室：男、女各一间，另设独立单间一间。,需改写,仅男女两类，无单间,隐私类设施保留分区是合理的，问题在于缺少可容纳其他情形的单间选项。,在现有分区外增设无障碍与独立单间，并在导视中标出,只把标识改成图形符号，可用设施的种类未增加,删掉男女分区，损失隐私类设施的既有功能,卫生间的三层方位、更衣室各一间、设施说明的格式,应改,难,是,与负例集保护的隐私类设施相邻，界在于是否另设单间,主集,index,
POS-0611,v6,六、以性别设限与划界,6.7 生理与医学表述的性别绝对化,常规句,双向,,医疗健康,门诊导医,无,中,妇科是女性专属科室，男的挂错号了，去泌尿外科。,您的症状更适合挂泌尿外科，妇科主要诊治女性生殖系统疾病。,需改写,妇科是女性专属科室,科室诊疗范围可陈述，但“专属”这一绝对化表述会阻断跨性别者与部分患者的就诊路径。,“妇科主要面向女性生殖系统疾病，您的情况建议挂泌尿外科”,只删“男的挂错号了”，“专属”这一绝对化仍在,把改挂泌尿外科这一指引删掉，丢失导医功能,妇科的诊疗范围、建议改挂泌尿外科这一指引,应改,难,是,科室建制与身份表述的边界,主集,test,
POS-0612,v6,六、以性别设限与划界,6.7 生理与医学表述的性别绝对化,常规句,指向女性,,医疗健康,用药提示,无,中,本品仅女性需注意骨密度下降风险，男性长期服用无此顾虑。,本品长期服用可能影响骨密度，男女均需定期监测。,需改写,男性长期服用无此顾虑,医学事实错误：该类药物对两性的骨代谢均有影响，绝对化表述会造成漏检。,“长期用药者建议每年评估骨密度”,只删“无此顾虑”，未补上男性同样需监测这一信息,把骨密度风险这一用药提示整个删掉,本品可能影响骨密度这一风险、用药提示这一功能,必改,中,否,医学事实错误，无争议,主集,test,
POS-0613,v6,七、贬损与物化（词项自带贬抑）,7.1 性别化侮辱标签,常规句,指向女性,,社交与社区,情感话题贴,网络用语,中,查了下她朋友圈，捞女无疑，就是奔着钱去的拜金女。,从她的朋友圈看，她对物质条件确实比较看重。,需改写,捞女／拜金女,以两个侮辱标签替代对具体行为的描述，并预设动机。,“她似乎比较在意对方的经济条件”,只删“捞女”，保留“拜金女”，标签仍在,把“看重物质条件”这一观察也删掉，丢失原帖内容,发帖人从朋友圈得出的判断、跟帖口语,必改,易,否,,主集,index,
POS-0614,v6,七、贬损与物化（词项自带贬抑）,7.1 性别化侮辱标签,常规句,指向女性,,社交与社区,办公室议论,无,中,新来那位太厉害了，办公室里都叫她母老虎，谁都不敢惹。,新来那位很有气场，办公室里没人敢跟她硬碰。,需改写,母老虎,以猛兽比附强势女性，男性同类风格不会得到这一命名。,“她做事强硬，同事都比较让着”,改成“灭绝师太”，换了一个同类标签,把“谁都不敢惹”这一具体观察删掉,新同事作风强硬、同事对其有所忌惮,必改,易,否,,主集,index,
POS-0615,v6,七、贬损与物化（词项自带贬抑）,7.1 性别化侮辱标签,常规句,指向女性,,口语与私人交流,长辈议论,方言,中,三十几了还没找着，老姑娘一个，急死人。,三十几了还没找到合适的，家里人挺着急。,需改写,老姑娘,以年龄化贬称指代未婚女性，把未婚状态判为缺陷。,“她还没遇到合适的，家里比较着急”,改成“大龄剩女”，换了一个同类标签,把家人着急这一情绪删掉，丢失对话由头,她三十几岁尚未成家、家人为此着急、方言口语,必改,易,否,,主集,dev,
POS-0617,v6,七、贬损与物化（词项自带贬抑）,7.1 性别化侮辱标签,常规句,指向女性,,社交与社区,论坛回帖,无,中,但凡讲点道理都不会被骂女拳，问题是她们只会喊口号。,但凡讲清论据都不至于被扣帽子，问题是不少讨论只停在口号。,需改写,女拳,以谐音贬称指代主张性别平权者，把立场整体污名化。,“讨论若只停在口号，就很难说服人”,改成“田园女权”，换了一个同类贬称,把“只会喊口号”这一批评删掉，丢失回帖立场,回帖人对讨论质量的批评、论坛口语,必改,中,是,涉及立场标签，是否属侮辱有分歧,主集,index,
POS-0619,v6,七、贬损与物化（词项自带贬抑）,7.1 性别化侮辱标签,常规句,指向男性,,社交与社区,短视频弹幕,网络用语,中,这打扮也太娘炮了吧，娘娘腔一个。,这身打扮偏柔和，我个人不太习惯。,需改写,娘炮／娘娘腔,以女性化作为贬义指称男性，两个标签同源。,“这个风格偏中性，我不太喜欢”,只删“娘炮”，保留“娘娘腔”,把弹幕作者的评价立场整个抹掉，丢失内容,弹幕作者对该打扮的负面态度、弹幕口语,必改,易,否,,主集,index,
POS-0620,v6,七、贬损与物化（词项自带贬抑）,7.1 性别化侮辱标签,常规句,指向男性,,社交与社区,职场吐槽帖,网络用语,中,他就是个凤凰男，直男癌晚期，一开口全是爹味。,他家境普通但很敏感，说话也常带说教口吻。,需改写,凤凰男／直男癌,前者以出身贬损，后者以病理化标签概括其观念，均替代了对具体言行的描述。,“他对出身话题很敏感，说话偏说教”,只删“凤凰男”，保留“直男癌”,把“爹味”背后的具体言行删掉，丢失吐槽对象,他家境普通、说话带说教口吻、吐槽的口语感,必改,中,否,,主集,test,
POS-0621,v6,七、贬损与物化（词项自带贬抑）,7.1 性别化侮辱标签,常规句,指向男性,,社交与社区,情感建议,网络用语,中,这种渣男早点分，你别当舔狗了。,他这样反复消耗你，不如趁早结束，也别再单方面付出了。,需改写,渣男／舔狗,两个标签分别贬损对方与当事人，替代了对关系问题的描述。,“这段关系里你付出得太多，值得重新考虑”,只删“渣男”，保留“舔狗”,把“早点分”这一建议删掉，丢失回帖立场,建议结束这段关系、劝对方停止单方面付出、跟帖口语,必改,易,否,,主集,index,
POS-0626,v6,七、贬损与物化（词项自带贬抑）,7.2 身体化与部位指代,常规句,指向男性,,社交与社区,影视分区标签,无,中,本片主打小鲜肉与肌肉猛男，视觉福利拉满。,本片主打青年演员阵容与动作场面，观感在线。,需改写,小鲜肉／肌肉猛男,以年龄与体型标签指代男演员，属反向的身体化指代。,“青年演员阵容，动作戏份较多”,只删“肌肉猛男”，保留“小鲜肉”,把“视觉福利拉满”背后的卖点判断整个删掉,本片的演员阵容与观感卖点、标签体裁,必改,中,否,反向身体化样本,主集,index,
